"","Bee","AverageOvaryWidth","AverageWingLength","Infl","Degree","Close","Eigen","Between","QR","Queen","boutDegree","boutBetween","boutClose","boutEigen","bodyDegree","bodyBetween","bodyClose","bodyEigen","AverageBoutLength","Presence","AntPresence","mean_vel","move_perc","N90.Day4","MRSD.Day4","Initiation.Freq","clust","ovary_idx","Trial","QR_Queen_Condition","ID"
"432","RooibosTea_QL_1216_1646_ArUcoTag#38",0.3955,2.6095,0,3188.5963054975,94.237822056,0.074340690225,0.01583758505,0,0,357.468378648,0.016145833325,7.97370434735,0.088852094425,2665.38374767,0.022066326525,72.22428168925,0.091593988725,8.907674525425,0.8452789082,0.816110362675,6.063179322025,0.562674481575,38,632.9837439,0.48731663265,0.03414469315,0.151561601839433,"RooibosTea","Queenless","RooibosTea Queenless"
"433","RooibosTea_QL_1216_1646_ArUcoTag#39",0.326,2.7485,0,3641.3011108,99.098370062,0.080899306175,0.007738095225,0,0,384.9123808375,0.00805697275,8.051875587775,0.095026023,2815.0325021625,0.017006802675,73.03507257475,0.095119991725,9.531124505925,0.82996885755,0.79187856775,3.843991813625,0.480020555925,73,784.6299655,0.4022581806,0.03603865745,0.11861015099145,"RooibosTea","Queenless","RooibosTea Queenless"
"434","RooibosTea_QL_1216_1646_ArUcoTag#4",0.5905,2.758,0,4840.8562278,111.24467766975,0.110362714725,0.005293367275,0,0,587.29459727,0.00990646255,10.09616065375,0.1427399887,3299.956942125,0.009034863975,77.168372883,0.1130387256,8.290689629325,0.83658573185,0.796191752625,6.527736112325,0.65095313825,99,1071.731333,0.639928329,0.045542751875,0.214104423495286,"RooibosTea","Queenless","RooibosTea Queenless"
"435","RooibosTea_QL_1216_1646_ArUcoTag#40",0.781,2.8065,0,4790.303227625,111.3937438065,0.104347143275,0.015731292525,0,0,536.5203357075,0.0190582482,9.7416078004,0.128367187125,3101.29164175,0.015816326525,75.78263704375,0.10464625525,9.000249503,0.85747151575,0.8040947096,5.766666696075,0.62386838705,39,809.5397912,0.674695002325,0.046128906475,0.278282558346695,"RooibosTea","Queenless","RooibosTea Queenless"
"436","RooibosTea_QL_1216_1646_ArUcoTag#41",0.4935,2.796,0,3907.8343809575,100.04208041725,0.097040665425,0.03061224485,0,0,384.926927603,0.017936862225,8.186454636,0.098465425325,2925.1402708875,0.037670068075,73.5886077575,0.1028175486,9.81734891775,0.8031263937,0.759256586875,3.778527883975,0.527473298275,68,828.5685425,0.405237626525,0.039433524025,0.176502145922747,"RooibosTea","Queenless","RooibosTea Queenless"
"437","RooibosTea_QL_1216_1646_ArUcoTag#42",0.514,2.8555,0,3206.8611429775,96.8546599355,0.080272920475,0.009268707425,0,0,355.4167780625,0.01037414965,8.466870886575,0.097954039,2461.893419005,0.014158163275,76.4137002985,0.095830368075,8.897565400375,0.908970494925,0.886219600375,3.16046440675,0.511029667075,61,1516.433205,0.35680122955,0.035626963975,0.180003502013658,"RooibosTea","Queenless","RooibosTea Queenless"
"438","RooibosTea_QL_1216_1646_ArUcoTag#45",0.722,2.413,1,6676.812708925,133.9600512485,0.16067275505,0.03269557825,0,0,601.37273633,0.0177933673,10.5132662853,0.1508737294,4914.65668665,0.06894132655,99.1068473775,0.1806933229,11.091785356625,0.827302308275,0.800613827975,5.196864495225,0.583814011275,48,732.1455061,0.385860214,0.056625511125,0.299212598425197,"RooibosTea","Queenless","RooibosTea Queenless"
"439","RooibosTea_QL_1216_1646_ArUcoTag#46",0.3675,2.2575,0,4353.711442855,96.80953915,0.07114586445,0.009162414925,0,0,467.6129470575,0.005059523775,7.942181639075,0.084421281625,3620.8074590375,0.017708333275,74.215005816825,0.09688190635,9.2815759479,0.60770863335,0.575615980775,5.5241726953,0.419127348975,29,565.97659,0.407624968512821,0.034138126,0.162790697674419,"RooibosTea","Queenless","RooibosTea Queenless"
"440","RooibosTea_QL_1216_1646_ArUcoTag#47",0.7975,2.331,1,7648.597641,133.164848343,0.1562658863,0.02723214285,0,0,812.9808725775,0.021524234675,11.09958433335,0.176435728375,5070.7632039,0.02570153055,90.8341409855,0.156311446975,9.4754281901,0.7363083746,0.676838844925,10.569223544425,0.7115275907,23,499.7745535,0.62313713525,0.054891274325,0.342127842127842,"RooibosTea","Queenless","RooibosTea Queenless"
"441","RooibosTea_QL_1216_1646_ArUcoTag#48",0.34325,2.463,0,4825.4805575,105.7605663735,0.0968510345,0.018324829925,0,0,552.31712976,0.01051764455,9.440337610825,0.1215798721,4133.857538275,0.02221513605,85.74560998575,0.128666504275,8.838199243125,0.754968355975,0.707448020125,5.933782001875,0.616708565375,79,758.697656,0.56182623685,0.042631478025,0.139362565976451,"RooibosTea","Queenless","RooibosTea Queenless"
